Date,Population_Data,Regression_Data,LSTM_Data
2007-06-01,849.0,,
2007-07-01,848.0,,
2007-08-01,842.0,,
2007-09-01,877.0,,
2007-10-01,861.0,,
2007-11-01,880.0,,
2007-12-01,872.0,,
2008-01-01,918.0,,
2008-02-01,916.0,,
2008-03-01,961.0,,
2008-04-01,915.0,,
2008-05-01,930.0,,
2008-06-01,964.0,,
2008-07-01,963.0,,
2008-08-01,975.0,,
2008-09-01,952.0,,
2008-10-01,988.0,,
2008-11-01,1003.0,,
2008-12-01,971.0,,
2009-01-01,996.0,,
2009-02-01,1007.0,,
2009-03-01,1020.0,,
2009-04-01,1017.0,,
2009-05-01,1030.0,,
2009-06-01,1042.0,,
2009-07-01,1019.0,,
2009-08-01,1025.0,,
2009-09-01,1088.0,,
2009-10-01,1108.0,,
2009-11-01,1068.0,,
2009-12-01,1099.0,,
2010-01-01,1100.0,,
2010-02-01,1147.0,,
2010-03-01,1075.0,,
2010-04-01,1111.0,,
2010-05-01,1118.0,,
2010-06-01,1104.0,,
2010-07-01,1150.0,,
2010-08-01,1152.0,,
2010-09-01,1153.0,,
2010-10-01,1165.0,,
2010-11-01,1166.0,,
2010-12-01,1170.0,,
2011-01-01,1192.0,,
2011-02-01,1210.0,,
2011-03-01,1190.0,,
2011-04-01,1168.0,,
2011-05-01,1251.0,,
2011-06-01,1241.0,,
2011-07-01,1251.0,,
2011-08-01,1238.0,,
2011-09-01,1258.0,,
2011-10-01,1236.0,,
2011-11-01,1244.0,,
2011-12-01,1263.0,,
2012-01-01,1283.0,,
2012-02-01,1274.0,,
2012-03-01,1334.0,,
2012-04-01,1322.0,,
2012-05-01,1315.0,,
2012-06-01,1275.0,,
2012-07-01,1320.0,,
2012-08-01,1386.0,,
2012-09-01,1360.0,,
2012-10-01,1394.0,,
2012-11-01,1376.0,,
2012-12-01,1378.0,,
2013-01-01,1400.0,,
2013-02-01,1441.0,,
2013-03-01,1453.0,,
2013-04-01,1424.0,,
2013-05-01,1447.0,,
2013-06-01,1432.0,,
2013-07-01,1451.0,,
2013-08-01,1517.0,,
2013-09-01,1464.0,,
2013-10-01,1499.0,,
2013-11-01,1555.0,,
2013-12-01,1555.0,,
2014-01-01,1597.0,,
2014-02-01,1615.0,,
2014-03-01,1580.0,,
2014-04-01,1620.0,,
2014-05-01,1645.0,,
2014-06-01,1625.0,,
2014-07-01,1679.0,,
2014-08-01,1653.0,,
2014-09-01,1752.0,,
2014-10-01,1711.0,,
2014-11-01,1751.0,,
2014-12-01,1733.0,,
2015-01-01,1756.0,,
2015-02-01,1830.0,,
2015-03-01,1782.0,,
2015-04-01,1704.0,,
2015-05-01,1847.0,,
2015-06-01,1926.0,,
2015-07-01,1927.0,,
2015-08-01,1882.0,,
2015-09-01,1938.0,,
2015-10-01,1909.0,,
2015-11-01,1919.0,,
2015-12-01,1980.0,,
2016-01-01,2055.0,,
2016-02-01,2084.0,,
2016-03-01,2086.0,,
2016-04-01,2106.0,,
2016-05-01,2164.0,,
2016-06-01,2151.0,,
2016-07-01,2120.0,,
2016-08-01,2161.0,,
2016-09-01,2075.0,,
2016-10-01,2232.0,,
2016-11-01,2207.0,,
2016-12-01,2164.0,,
2017-01-01,2283.0,,
2017-02-01,2252.0,,
2017-03-01,2331.0,,
2017-04-01,2304.0,,
2017-05-01,2323.0,,
2017-06-01,2280.0,,
2017-07-01,2428.0,,
2017-08-01,2436.0,,
2017-09-01,2415.0,,
2017-10-01,2460.0,,
2017-11-01,2397.0,,
2017-12-01,2459.0,,
2018-01-01,2440.0,,
2018-02-01,2436.0,,
2018-03-01,2388.0,,
2018-04-01,2478.0,,
2018-05-01,2418.0,,
2018-06-01,2465.0,,
2018-07-01,2632.0,,
2018-08-01,2557.0,,
2018-09-01,2529.0,,
2018-10-01,2500.0,,
2018-11-01,2559.0,,
2018-12-01,2609.0,,
2019-01-01,2600.0,,
2019-02-01,2627.0,,
2019-03-01,2599.0,,
2019-04-01,2577.0,,
2019-05-01,2633.0,,
2019-06-01,2693.0,,
2019-07-01,2663.0,,
2019-08-01,2744.0,,
2019-09-01,2594.0,,
2019-10-01,2687.0,,
2019-11-01,2757.0,,
2019-12-01,2756.0,,
2020-01-01,2749.0,,
2020-02-01,2679.0,,
2020-03-01,2782.0,,
2020-04-01,2663.0,,
2020-05-01,2751.0,,
2020-06-01,2703.0,,
2020-07-01,2681.0,,
2020-08-01,2740.0,,
2020-09-01,2747.0,,
2020-10-01,2741.0,,
2020-11-01,2794.0,,
2020-12-01,2801.0,,
2021-01-01,2777.0,,
2021-02-01,2818.0,,
2021-03-01,2729.0,,
2021-04-01,2853.0,,
2021-05-01,2920.0,,
2021-06-01,2784.0,,
2021-07-01,2889.0,,
2021-08-01,2952.0,,
2021-09-01,2853.0,,
2021-10-01,2897.0,,
2021-11-01,2867.0,,
2021-12-01,2833.0,,
2022-01-01,2950.0,,
2022-02-01,2876.0,,
2022-03-01,2922.0,,
2022-04-01,2941.0,,
2022-05-01,3009.0,,
2022-06-01,3022.0,,
2022-07-01,2876.0,,
2022-08-01,2927.0,,
2022-09-01,2952.0,,
2022-10-01,3068.0,,
2022-11-01,2816.0,,
2022-12-01,2871.0,,
2023-01-01,2964.0,,
2023-02-01,2974.0,,
2023-03-01,2987.0,,
2023-04-01,3059.0,,
